iter	Passed	Remaining
0	130	129993
1	240	120102
2	360	119648
3	449	111870
4	579	115371
5	671	111297
6	793	112620
7	887	110092
8	980	108014
9	1095	108452
10	1294	116431
11	1412	116324
12	1545	117329
13	1654	116559
14	1832	120324
15	1931	118811
16	2079	120271
17	2230	121705
18	2385	123172
19	2480	121561
20	2644	123273
21	2760	122694
22	2926	124313
23	3060	124440
24	3176	123895
25	3315	124204
26	3476	125300
27	3625	125855
28	3733	125001
29	3842	124231
30	3994	124860
31	4120	124640
32	4232	124017
33	4362	123942
34	4508	124310
35	4627	123909
36	4768	124112
37	4882	123603
38	5025	123842
39	5148	123554
40	5265	123152
41	5376	122632
42	5511	122669
43	5619	122085
44	5768	122421
45	5866	121671
46	5989	121452
47	6082	120629
48	6246	121242
49	6353	120724
50	6474	120469
51	6590	120152
52	6707	119844
53	6855	120097
54	6999	120260
55	7136	120295
56	7262	120142
57	7358	119506
58	7485	119394
59	7604	119130
60	7747	119264
61	7852	118801
62	7985	118775
63	8096	118404
64	8224	118306
65	8321	117767
66	8458	117792
67	8574	117525
68	8730	117803
69	8854	117631
70	8969	117361
71	9073	116943
72	9221	117097
73	9352	117035
74	9470	116804
75	9581	116490
76	9726	116595
77	9837	116287
78	9962	116141
79	10079	115911
80	10187	115588
81	10292	115228
82	10437	115315
83	10569	115257
84	10691	115089
85	10796	114746
86	10962	115041
87	11091	114945
88	11235	115010
89	11339	114652
90	11458	114459
91	11546	113961
92	11691	114027
93	11795	113686
94	11945	113792
95	12049	113470
96	12149	113099
97	12247	112725
98	12376	112634
99	12474	112267
100	12608	112229
101	12724	112025
102	12862	112012
103	12987	111892
104	13139	111997
105	13265	111878
106	13412	111935
107	13524	111705
108	13698	111973
109	13804	111691
110	13960	111810
111	14101	111801
112	14226	111673
113	14340	111450
114	14492	111528
115	14599	111259
116	14746	111295
117	14839	110916
118	14975	110866
119	15092	110678
120	15217	110548
121	15301	110121
122	15415	109915
123	15540	109783
124	15663	109647
125	15760	109321
126	15895	109262
127	16013	109094
128	16165	109150
129	16280	108952
130	16415	108893
131	16518	108621
132	16667	108654
133	16779	108439
134	16913	108372
135	17028	108182
136	17172	108173
137	17270	107876
138	17410	107847
139	17537	107730
140	17664	107617
141	17785	107465
142	17909	107332
143	18028	107172
144	18147	107007
145	18273	106890
146	18423	106906
147	18551	106795
148	18674	106656
149	18775	106396
150	18936	106473
151	19057	106321
152	19230	106458
153	19350	106303
154	19501	106314
155	19625	106181
156	19733	105955
157	19841	105739
158	19995	105760
159	20113	105596
160	20242	105486
161	20368	105362
162	20531	105429
163	20640	105214
164	20739	104955
165	20852	104765
166	20979	104647
167	21076	104380
168	21191	104204
169	21306	104025
170	21437	103928
171	21551	103749
172	21704	103755
173	21811	103544
174	21956	103508
175	22074	103349
176	22221	103325
177	22350	103215
178	22471	103067
179	22579	102863
180	22721	102812
181	22851	102707
182	22987	102628
183	23112	102497
184	23242	102393
185	23382	102331
186	23515	102237
187	23660	102193
188	23778	102035
189	23896	101875
190	24039	101821
191	24181	101762
192	24295	101587
193	24443	101554
194	24572	101441
195	24723	101417
196	24861	101338
197	25003	101278
198	25103	101043
199	25268	101075
200	25376	100873
201	25515	100800
202	25667	100771
203	25831	100793
204	25926	100545
205	26031	100334
206	26132	100113
207	26287	100093
208	26411	99959
209	26532	99813
210	26635	99598
211	26792	99588
212	26902	99399
213	27034	99295
214	27147	99119
215	27257	98933
216	27357	98712
217	27489	98607
218	27649	98602
219	27773	98467
220	27918	98408
221	28040	98267
222	28176	98176
223	28305	98058
224	28416	97879
225	28554	97793
226	28674	97643
227	28816	97570
228	28935	97420
229	29054	97267
230	29166	97097
231	29287	96952
232	29401	96784
233	29526	96654
234	29638	96483
235	29769	96372
236	29911	96296
237	30043	96189
238	30153	96010
239	30275	95871
240	30402	95750
241	30529	95625
242	30654	95495
243	30777	95360
244	30905	95240
245	31050	95170
246	31200	95118
247	31310	94940
248	31417	94756
249	31619	94859
250	31731	94688
251	31873	94608
252	31989	94450
253	32111	94312
254	32214	94117
255	32326	93948
256	32425	93743
257	32556	93630
258	32658	93437
259	32818	93405
260	32925	93225
261	33069	93148
